,participant,rate,zooming,language
p1,6,no,russian
p2,2,no,russian
p3,5,no,russian
p4,2,no,russian
p5,7,no,russian
p6,3,no,russian
p7,3,no,russian
p8,7,no,russian
p9,3,no,russian
p10,1,no,russian
p11,7,no,russian
p12,4,no,russian
p13,1,no,russian
p14,7,no,russian
p15,1,no,russian
p16,2,no,russian
p17,4,no,russian
p18,2,no,russian
p19,1,no,russian
p20,1,no,russian
p21,3,no,russian
p22,7,no,russian
p23,1,no,russian
p24,0,no,russian
p25,7,no,russian
p26,3,no,russian
p27,6,no,russian
p28,1,no,russian
p29,0,no,russian
p30,2,no,russian
p1,5,yes,russian
p2,5,yes,russian
p3,5,yes,russian
p4,5,yes,russian
p5,7,yes,russian
p6,4,yes,russian
p7,3,yes,russian
p8,7,yes,russian
p9,3,yes,russian
p10,1,yes,russian
p11,7,yes,russian
p12,4,yes,russian
p13,7,yes,russian
p14,7,yes,russian
p15,2,yes,russian
p16,5,yes,russian
p17,4,yes,russian
p18,0,yes,russian
p19,1,yes,russian
p20,1,yes,russian
p21,4,yes,russian
p22,7,yes,russian
p23,1,yes,russian
p24,2,yes,russian
p25,5,yes,russian
p26,5,yes,russian
p27,7,yes,russian
p28,7,yes,russian
p29,3,yes,russian
p30,7,yes,russian
